Data,Grupo,Tempo_Ciclo
2026-08-01,Shift_A,10.2
2026-08-01,Shift_B,15.1
2026-08-01,Shift_C,12.0
2026-08-02,Shift_A,10.5
2026-08-02,Shift_B,14.9
2026-08-02,Shift_C,12.2
2026-08-03,Shift_A,10.1
2026-08-03,Shift_B,15.5
2026-08-03,Shift_C,11.9
2026-08-04,Shift_A,9.9
2026-08-04,Shift_B,15.2
2026-08-04,Shift_C,12.1
2026-08-05,Shift_A,10.3
2026-08-05,Shift_B,15.0
2026-08-05,Shift_C,12.3
2026-08-06,Shift_A,10.4
2026-08-06,Shift_B,14.8
2026-08-06,Shift_C,12.0
2026-08-07,Shift_A,10.0
2026-08-07,Shift_B,15.3
2026-08-07,Shift_C,12.2
