Machine,Defect
M1,Yes
M1,No
M1,No
M1,No
M1,No
M1,No
M1,No
M1,No
M1,Yes
M1,Yes
M1,No
M1,No
M1,Yes
M1,No
M1,Yes
M1,Yes
M1,Yes
M1,No
M1,No
M1,Yes
M1,Yes
M1,Yes
M1,Yes
M1,Yes
M1,No
M1,Yes
M1,No
M1,Yes
M1,No
M1,No
M1,No
M1,No
M1,No
M1,No
M1,Yes
M1,No
M1,Yes
M1,No
M1,No
M1,Yes
M2,Yes
M2,No
M2,No
M2,No
M2,No
M2,No
M2,No
M2,No
M2,Yes
M2,Yes
M2,No
M2,No
M2,Yes
M2,No
M2,Yes
M2,Yes
M2,Yes
M2,No
M2,No
M2,Yes
M2,Yes
M2,Yes
M2,Yes
M2,Yes
M2,No
M2,Yes
M2,No
M2,Yes
M2,No
M2,No
M2,No
M2,No
M2,No
M2,No
M2,Yes
M2,No
M2,Yes
M2,No
M2,No
M2,Yes
M3,Yes
M3,No
M3,No
M3,No
M3,No
M3,No
M3,No
M3,No
M3,Yes
M3,Yes
M3,No
M3,No
M3,Yes
M3,No
M3,Yes
M3,Yes
M3,Yes
M3,No
M3,No
M3,Yes
M3,Yes
M3,Yes
M3,Yes
M3,Yes
M3,No
M3,Yes
M3,No
M3,Yes
M3,No
M3,No
M3,No
M3,No
M3,No
M3,No
M3,Yes
M3,No
M3,Yes
M3,No
M3,No
M3,Yes
